nombre_unidad,razon_social,scian_codigo,scian_descripcion,estrato_personal,municipio,estado,colonia,telefono,www,source_url,source_date,exclusion_anexo_a
COMERCIALIZADORA ACERLUM,COMERCIALIZADORA ACERLUM,332320,Fabricación de productos de herrería,251 y más personas,Irapuato,Guanajuato,PURÍSIMA DEL JARDÍN,4621850750,WWW.ACERLUM.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
COMPAÑIA MANUFACTURERA DE ARTEFACTOS ELECTRICOS,CIA MANUFACTURERA DE ARTEFACTOS ELECTRICOS,335312,Fabricación de equipo y aparatos de distribución de energía eléctrica,251 y más personas,Irapuato,Guanajuato,EL RANCHITO (INDEPENDENCIA),4626262194,GRUPOIG.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CONDUMEX SAN FELIPE,ARNESES ELECTRICOS AUTOMOTRICES,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,San Felipe,Guanajuato,CENTRO,,WWW.CONDUMEX.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES,CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,251 y más personas,Silao de la Victoria,Guanajuato,PARQUE INDUSTRIAL Y DE NEGOCIOS LAS COLINAS,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CONSTRUCCIONES ELECTROMECANICAS DIPROZEZA,CONSTRUCCIONES ELECTROMECANICAS DIPROZEZA,333999,Fabricación de otra maquinaria y equipo para la industria en general,101 a 250 personas,Celaya,Guanajuato,CIUDADELA,4612524867,WWW.DIPROZEZA,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CONTICON,CONTICON,331420,Laminación secundaria de cobre,101 a 250 personas,Villagrán,Guanajuato,CORREDOR INDUSTRIAL CELAYA-SALAMANCA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
COROPLAST CABLE TRADING,COROPLAST CABLE TRADING MEXICO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,Celaya,Guanajuato,EL MARQUES BAJÍO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CORPORACIÓN INDUSTRIAL MULTICO,CORPORACIÓN INDUSTRIAL MULTICO,335312,Fabricación de equipo y aparatos de distribución de energía eléctrica,101 a 250 personas,Pénjamo,Guanajuato,CENTRO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CORPORACIÓN MITSUBA DE MÉXICO,CORPORACION MITSUBA DE MEXICO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,Silao de la Victoria,Guanajuato,PUERTO INTERIOR,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CUT AND SEW MANUFACTURING OPERATIONS,CUT AND SEW MANUFACTURING OPERATIONS,337120,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería",251 y más personas,Silao de la Victoria,Guanajuato,LA ALDEA,,WWW.ETHANALLEN.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DAIKYONISHIKAWA MEXICANA,DAIKYONISHIKAWA MEXICANA,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Salamanca,Guanajuato,COMPLEJO INDUSTRIAL SALAMANCA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DEACERO ACERIA CELAYA,DEACERO,331112,Fabricación de desbastes primarios y ferroaleaciones,251 y más personas,Villagrán,Guanajuato,EL CHINACO,,WWW.DEACERO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DEACERO INDUSTRIAL LEON 1,DEACERO,332610,"Fabricación de alambre, productos de alambre y resortes",101 a 250 personas,León,Guanajuato,CIUDAD INDUSTRIAL,,WWW.DEACERO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DEACERO PLANTA LEON,DEACERO,332610,"Fabricación de alambre, productos de alambre y resortes",101 a 250 personas,León,Guanajuato,CIUDAD INDUSTRIAL,,WWW.DEACERO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DEALBA,BENEFICIADORA DE ALAMBRES Y METALES,332720,"Fabricación de tornillos, tuercas, remaches y similares",101 a 250 personas,Irapuato,Guanajuato,CIUDAD INDUSTRIAL IRAPUATO,,WWW.DEALBA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DENSO MEXICO,DENSO MEXICO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Irapuato,Guanajuato,CASTRO DEL R O,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DENSO MEXICO,DENSO MEXICO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,Silao de la Victoria,Guanajuato,SANTA FE PUERTO INTERIOR,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DIECASTING CELAYA,DIECASTING CELAYA,331520,Moldeo por fundición de piezas metálicas no ferrosas,101 a 250 personas,Celaya,Guanajuato,SANTA MARIA DEL REFUGIO,,WWW.DIECASTINGCELAYA.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DONALDSON,DONALDSON,336390,Fabricación de otras partes para vehículos automotrices,101 a 250 personas,León,Guanajuato,PARQUE INDUSTRIAL COLINAS DE LEON,,WWW.DONALDSON.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DRAEXLMAIER COMPONENTS AUTOMOTIVE DE MEXICO,DRAEXLMAIER COMPONENTS AUTOMOTIVE DE MEXICO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,San Miguel de Allende,Guanajuato,SAN MIGUEL DE ALLENDE,,WWW.DRAEXLMAIER.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
DRAXTON,DRAXTON MEXICO,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,251 y más personas,Irapuato,Guanajuato,APOLO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
EAGLE OTAWA,LEAR MEXICANA TRIM OPERATIONS,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,251 y más personas,León,Guanajuato,SANTA MARIA DE CEMENTOS,4771016044,WWW.LEAR.COP,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ELFER,INDUSTIAS METALICAS ELFER,333920,Fabricación de maquinaria y equipo para levantar y trasladar,101 a 250 personas,Silao de la Victoria,Guanajuato,CERRITOS,,WWW.INDUSTRIASELFER.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ELRAD ELECTRONICS,ELRAD ELECTRONICS,334410,Fabricación de componentes electrónicos,101 a 250 personas,Apaseo el Grande,Guanajuato,AMISTAD CHUY MARIA,,WWW.ELRAD.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
EMISA ESTRUCTURAS Y MAQUILAS DE IRAPUATO,ESTRUCTURAS Y MAQUILAS DE IRAPUATO,332310,Fabricación de estructuras metálicas,101 a 250 personas,Irapuato,Guanajuato,CUIDAD INDUSTRIAL,4626225244,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
EMPAKA,EMBALAJE Y DERIVADOS DE LEON,339999,Otras industrias manufactureras,101 a 250 personas,León,Guanajuato,INDUSTRIAL SANTA CROCCE,,WWW.EMPAKA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
EMPRESA DE ANUNCIOS PUBLICITARIOS GRUPO VISION,LUMINOSOS DEL CENTRO,339950,Fabricación de anuncios y señalamientos,101 a 250 personas,León,Guanajuato,DESARROLLO BALEARES,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
EMPRESAS SUAREZ,EMPRESAS SUAREZ,333910,Fabricación de bombas y sistemas de bombeo,251 y más personas,Celaya,Guanajuato,CIUDAD INDUSTRIAL,,WWW.WARSON.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
EQUIPOS PARA REDES ECLECTRICAS DEL CENTRO EPRECSA,EQUIPOS PARA REDES ELECTRICAS DEL CENTRO,335312,Fabricación de equipo y aparatos de distribución de energía eléctrica,101 a 250 personas,Irapuato,Guanajuato,CASTRO DEL RIO,,WWW.EPRECSA.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ESJ,ESJ,332310,Fabricación de estructuras metálicas,251 y más personas,Santa Cruz de Juventino Rosas,Guanajuato,SAN PABLO,,WWW.ESJ.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ESTAMP AUTOMOTIVE MX,ESTAMP AUTOMOTIVE MX,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,101 a 250 personas,San Miguel de Allende,Guanajuato,POLIGONO EMPRESARIAL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
EVERCAST,EVERCAST,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,251 y más personas,Irapuato,Guanajuato,APOLO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
F&P MFG DE MEXICO,F&P MFG DE MEXICO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Irapuato,Guanajuato,JANAMO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FABRICA DE APARATOS ORTOPEDICOS BOSS LABORATORIES,BOSS LABORATORIES,339111,"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio",101 a 250 personas,León,Guanajuato,DE GUADALUPE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FABRICA DE AUTOPARTES RONGTAI INDUSTRIAL DEVELOPMENT,RONGTAI INDUSTRIAL DEVELOPMENT LEON,336350,Fabricación de partes de sistemas de transmisión para vehículos automotores,251 y más personas,León,Guanajuato,PARQUE INDUSTRIAL COLINAS DE LEÓN,4778208008,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FABRICA DE HERRAJES PARA CINTURONES METAL PARK,METAL PARK,339992,"Fabricación de cierres, botones y agujas",251 y más personas,León,Guanajuato,PRO. FRACCIONES DE SAN JOSÉ DE LAS PILETAS,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FÁBRICA DE MAQUINA Y HERRAMIENTA,FABRICA DE MAQUINA Y HERRAMIENTA,333111,Fabricación de maquinaria y equipo agrícola,101 a 250 personas,Pénjamo,Guanajuato,SANTA ANA PACUECO,,WWW.FAMAQ.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FABRICA DE TORNILLOS KAMAX MEXICO,KAMAX MEXICO,332720,"Fabricación de tornillos, tuercas, remaches y similares",101 a 250 personas,León,Guanajuato,PARQUE INDUSTRIAL COLINAS DE LEÓN,4772250868,WWW.KAMAX.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FAIST ALUCAST,FAIST ALUCAST,331520,Moldeo por fundición de piezas metálicas no ferrosas,251 y más personas,Silao de la Victoria,Guanajuato,PUERTO INTERIOR,4721350600,WWW.FAISTGROUP.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FAURECIA SISTEMAS AUTOMOTRICES DE MEXICO,FAURECIA SISTEMAS AUTOMOTRICES DE MEXICO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,San José Iturbide,Guanajuato,PARQUE INDUSTRIAL OPCION,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FAURECIA SISTEMAS AUTOMOTRICES DE MEXICO,FAURECIA SISTEMAS AUTOMOTRICES DE MEXICO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Silao de la Victoria,Guanajuato,RECINTO ESTRATEGICO FISCALIZADO,,WWW.FAURECIA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FIT VOLTAIRA MEXICO,FIT VOLTAIRA MEXICO,336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices,251 y más personas,Comonfort,Guanajuato,EMPALME ESCOBEDO,4611222896,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FIXIER,FIXIER,339111,"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio",101 a 250 personas,Doctor Mora,Guanajuato,SAN RAFAEL,4191251263,WWW.TRAUFIX.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FLEX N GATE MEXICO,FLEX N GATE MEXICO,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,251 y más personas,San José Iturbide,Guanajuato,OPCION,,WWW.FLEX-N-GATE.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FORJAS DE CELAYA,FORJAS DE CELAYA,336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices,101 a 250 personas,Celaya,Guanajuato,ZONA INDUSTRIAL PONIENTE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FORMA AUTOMOTIVE DE MEXICO,FORMA AUTOMOTIVE DE MEXICO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Apaseo el Grande,Guanajuato,PARQUE AUTOMOTRIZ TOYOTA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FREUDENBERG FILTRATION TECHNOLOGIES,FREUDENBERG FILTRATION TECHNOLOGIES,336390,Fabricación de otras partes para vehículos automotrices,101 a 250 personas,Silao de la Victoria,Guanajuato,PUERTO INTERIOR,,WWW.FREUDENBERG-FILTER.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FRIOCIMA,FRIOCIMA,333412,Fabricación de equipo de refrigeración industrial y comercial,101 a 250 personas,Celaya,Guanajuato,EL VERGEL,,WWW.FRIOCIMA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FUJI OOZX,FUJI OOZX MEXICO,332910,Fabricación de válvulas metálicas,101 a 250 personas,Silao de la Victoria,Guanajuato,MEZQUITE DE SOTELO PLAN DE SOTELO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FUJIKOKI DE MÉXICO,FUJIKOKI DE MÉXICO,333411,Fabricación de equipo de aire acondicionado y calefacción,251 y más personas,Irapuato,Guanajuato,PARQUE TECNOINDUSTRIAL CASTRO DEL RÍO,4621180861,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FUJIKURA AUTOMOTIVE MEXICO QUERETARO,FUJIKURA AUTOMOTIVE MEXICO QUERETARO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,Salamanca,Guanajuato,VALTIERRILLA,,WWW.FUJIKURAAUTOMOTIVE.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FUMAQ,FUMAQ,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,101 a 250 personas,Apaseo el Alto,Guanajuato,SAN JUAN DEL LLANITO,,WWW.FUMAQ.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FURUKAWA AUTOMOTIVE SYSTEMS MEXICO,FURUKAWA AUTOMOTIVE SYSTEMS MEXICO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,Valle de Santiago,Guanajuato,SEDAI,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
G ONE AUTO PARTS DE MÉXICO,G ONE AUTO PARTS DE MÉXICO,336210,Fabricación de carrocerías y remolques,251 y más personas,Apaseo el Grande,Guanajuato,LA AMISTAD BAJIO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
G S W DE GUANAJUATO,G S W DE GUANAJUATO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,EL JARDIN,8991244094,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GAT MEXICO,GAT MEXICO,336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,101 a 250 personas,Celaya,Guanajuato,SEGUNDA FRACCION DE CRESPO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GEMOMEX,GEMOMEX,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,101 a 250 personas,Irapuato,Guanajuato,PARQUE TECNO INDUSTRIAL CASTRO DEL RIO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GENERAL MOTORS DE MEXICO,GENERAL MOTORS DE MEXICO,336110,Fabricación de automóviles y camionetas,251 y más personas,Silao de la Victoria,Guanajuato,LOS RODRIGUEZ,,WWW.GM.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GENTHERM DE MEXICO PLANTA CUATRO,GENTHERM DE MEXICO,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,101 a 250 personas,Celaya,Guanajuato,PARQUE INDUSTRIAL AMISTAD SUR,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GKN DRIVELINE CELAYA,GKN DRIVELINE CELAYA,336350,Fabricación de partes de sistemas de transmisión para vehículos automotores,251 y más personas,Celaya,Guanajuato,SEGUNDA FRACCION DE CRESPO,,WWW.GKN.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GKN DRIVELINE CELAYA,GKN DRIVELINE CELAYA,336350,Fabricación de partes de sistemas de transmisión para vehículos automotores,251 y más personas,Villagrán,Guanajuato,EL PINTOR,,WWW.GKN.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GKN SINTER METALS MEXICO,GKN SINTER METALS MEXICO,336350,Fabricación de partes de sistemas de transmisión para vehículos automotores,101 a 250 personas,Apaseo el Grande,Guanajuato,AMISTAD CHUY MARIA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GPA ADVANCED MANUFACTURING,GPA ADVANCED MANUFACTURING,332999,Fabricación de otros productos metálicos,251 y más personas,León,Guanajuato,VILLAS DE SAN JUAN I,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GRUPO ANTOLIN SILAO,GRUPO ANTOLIN SILAO,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,101 a 250 personas,Silao de la Victoria,Guanajuato,PARQUE FIPASI,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GRUPO ETSA,ESPECIALIDADES TERMICAS,332810,Recubrimientos y terminados metálicos,101 a 250 personas,Celaya,Guanajuato,CIUDAD INDUSTRIAL,,WWW.ESPECIALIDADESTERMICAS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GRUPO ETSA,ESPECIALIDADES TERMICAS,332810,Recubrimientos y terminados metálicos,101 a 250 personas,Celaya,Guanajuato,CIUDAD INDUSTRIAL,,WWW.ESPECIALIDADETERMICAS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GRUPO YAZAKI PLANTA LEON,GRUPO YAZAKI,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,León,Guanajuato,EL BAJIO 1,8181344800,WWW.YAZAKI.GRUPO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GTEKT MEXICO CORP G-MEX,GTEKT MEXICO CORP,336350,Fabricación de partes de sistemas de transmisión para vehículos automotores,101 a 250 personas,Irapuato,Guanajuato,COLINAS DEL RINCON,4623696945,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HAL ALUMINUM MEXICO,HAL ALUMINUM MEXICO,336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices,251 y más personas,Silao de la Victoria,Guanajuato,PUERTO INTERIOR,4721338449,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HAL ALUMINUM MEXICO,HAL ALUMINUM MEXICO,336350,Fabricación de partes de sistemas de transmisión para vehículos automotores,251 y más personas,Silao de la Victoria,Guanajuato,PUERTO INTERIOR,,WWW.HALMEX.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HANWA,HANWA STEEL SERVICE MEXICANA,331220,Fabricación de otros productos de hierro y acero,251 y más personas,Apaseo el Grande,Guanajuato,LA AMISTAD,,WWW.HANWA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HARTING,HARTING MEXICO MANUFACTURING,334410,Fabricación de componentes electrónicos,101 a 250 personas,Silao de la Victoria,Guanajuato,PUERTO INTERIOR,,WWW.HARTING.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HEBILLAS Y HERRAJES FINOS DE LEON,HEBILLAS Y HERRAJES FINOS DE LEON,339992,"Fabricación de cierres, botones y agujas",101 a 250 personas,León,Guanajuato,INDUSTRIAL DELTA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HELLA AUTOMOTIVE MEXICO,HELLA AUTOMOTIVE MEXICO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,San José Iturbide,Guanajuato,PARQUE OPCION,,HTTPS://WWW.HELLA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HELLA AUTOMOTIVE MEXICO,HELLA AUTOMOTIVE MEXICO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,Irapuato,Guanajuato,EL JANAMO,,WWW.HELLAMEX.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HELLA AUTOMOTIVE MEXICO,HELLA AUTOMOTIVE MEXICO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,Apaseo el Grande,Guanajuato,AMEXE,,HTTPS://WWW.HELLA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HELVEX,HELVEX,332910,Fabricación de válvulas metálicas,251 y más personas,Apaseo el Grande,Guanajuato,LOCALIDAD ECONOMICA 7004,,WWW.HELVEX.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HIHO WHEEL MEXICO,HIHO WHEEL MEXICO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Apaseo el Grande,Guanajuato,SAN JOSE AGUA AZUL,,WWW.HIHOMEXICO.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HIROTEC MEXICO SILAO,HIROTEC MEXICO,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,251 y más personas,Silao de la Victoria,Guanajuato,FIPASI,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HIROTEC TOOLING DE MEXICO,HIROTEC TOOLING DE MEXICO,333999,Fabricación de otra maquinaria y equipo para la industria en general,101 a 250 personas,Silao de la Victoria,Guanajuato,PUERTO INTERIOR SANTA FE II,4721034076,WWW.HIROTECTOOLING.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HIRSCHANN AUTOMOTIVE MEXICO,HIRSCHMANN AUTOMOTIVE MEXICO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,San Miguel de Allende,Guanajuato,POLIGONO SAN MIGUEL DE ALLENDE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HIRSCHMANN AUTOMOTIVE,HIRSCHMANN AUTOMOTIVE,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,San Miguel de Allende,Guanajuato,POLIGONO EMPRESARIAL DE SAN MIGUEL DE ALLENDE,,WWW.HIRSCHMANN-AUTOMOTIVE.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
