no,nombre_instalacion,estado,anio_vigencia,tipo_certificado
825,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA MINAS, SUBESTACIÓN SERVICIOS LA YESCA",Jalisco,2027,Calidad Ambiental
826,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA ATLACOMULCO, SUBESTACIÓN SAN MATEO",México,2027,Calidad Ambiental
827,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA ATLACOMULCO, SUBESTACIÓN SAN SEBASTIÁN",México,2027,Calidad Ambiental
828,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO SUR, ZONA TENANGO, SUBESTACIÓN TENANGO DEL VALLE",México,2027,Calidad Ambiental
829,"SYPRIS TECHNOLOGIES MÉXICO, S. DE R.L. DE C.V.",México,2027,Industria Limpia
830,"PRODUCTOS FARMACEUTICOS, S.A. DE C.V. (PLANTA AGUASCALIENTES)",Aguascalientes,2027,Industria Limpia
831,MUNICIPIO DE QUERÉTARO (MANEJO INTEGRAL DE RESIDUOS),Queretaro,2027,Calidad Ambiental
832,"CFE DISTRIBUCIÓN GERENCIA CENTRO OCCIDENTE, ZONA LA PIEDAD, SUBESTACIONES CHURINTZIO, LA PIEDAD PONIENTE, EL SOL, LA PIEDAD Y VISTA HERMOSA",Michoacan,2027,Calidad Ambiental
833,"TEXAS INSTRUMENTS DE MÉXICO, S. DE R.L. DE C.V.",Aguascalientes,2027,Industria Limpia
834,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA CIÉNEGA, SUBESTACIÓN CUITZEO",Jalisco,2027,Calidad Ambiental
835,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA CIÉNEGA, SUBESTACIÓN SAN ANDRÉS",Jalisco,2027,Calidad Ambiental
836,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA CHAPALA, SUBESTACIÓN CENTRO LOGÍSTICO JALISCO",Jalisco,2027,Calidad Ambiental
837,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA JUÁREZ, SUBESTACIÓN SAN AGUSTÍN",Jalisco,2027,Calidad Ambiental
838,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA JUÁREZ, SUBESTACIÓN HIGUERILLAS",Jalisco,2027,Calidad Ambiental
839,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA JUÁREZ, SUBESTACIÓN FRESNO",Jalisco,2027,Calidad Ambiental
840,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA LA PIEDAD, SUBESTACIONES ARANDAS, ATOTONILCO, AYOTLÁN, JESÚS MARÍA",Jalisco,2027,Calidad Ambiental
841,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA CHAPALA, SUBESTACIÓN CASTILLO",Jalisco,2027,Calidad Ambiental
842,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA CHAPALA, SUBESTACIÓN SANTA CRUZ",Jalisco,2027,Calidad Ambiental
843,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA CHAPALA, SUBESTACIÓN JOCOTEPEC",Jalisco,2027,Calidad Ambiental
844,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA CIÉNEGA, SUBESTACIÓN PONCITLÁN",Jalisco,2027,Calidad Ambiental
845,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA ALTOS, SUBESTACIÓN TEPATITLÁN",Jalisco,2027,Calidad Ambiental
846,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA LA PIEDAD, SUBESTACIÓN YERBABUENA",Jalisco,2027,Calidad Ambiental
847,"CHEMICAL & SCHUTZ HIGH PERFORMANCE LUBRICANTS, S.A. DE C.V.",Aguascalientes,2027,Industria Limpia
848,"TRUPER, S.A. DE C.V.",México,2026,Industria Limpia
849,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TULA, SUBESTACIÓN JUANDHO",Hidalgo,2027,Calidad Ambiental
850,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TULA, SUBESTACIÓN VITO",Hidalgo,2027,Calidad Ambiental
851,"INFRAESTRUCTURA PORTUARIA DEL GOLFO, S.A. DE C.V.",Michoacan,2027,Calidad Ambiental
852,"APTIV CONTRACT SERVICES NORESTE, S. DE R.L. DE C.V. (PLANTA VICTORIA II)",Tamaulipas,2027,Industria Limpia
853,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA SANTIAGO, SUBESTACIÓN PEĄITAS",Nayarit,2027,Calidad Ambiental
854,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA VALLE DE BRAVO, SUBESTACIÓN VILLA GUERRERO",México,2027,Calidad Ambiental
855,"LA CANTERA DESARROLLOS MINEROS, S.A. DE C.V. UNIDAD SAUCITO",Zacatecas,2027,Industria Limpia
856,"CHETUMAL AUTOMOTORES, S.A. DE C.V.",Quintana Roo,2027,Calidad Ambiental
857,"AGROINDUSTRIAL UUMBAL, S.A.P.I. DE C.V. (PLANTA DE BENEFICIO)",Chiapas,2027,Industria Limpia
858,"AEROPUERTO DE MINATITLÁN, S.A. DE C.V.",Veracruz,2027,Calidad Ambiental
859,"MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC, S. DE R.L. DE C.V.",Puebla,2027,Industria Limpia
860,"MELTER, S.A. DE C.V.",Nuevo León,2027,Industria Limpia
861,"CFE GENERACIÓN VI EPS, (CENTRAL GEOTERMOELÉCTRICA HUMEROS)",Puebla,2027,Industria Limpia
862,"FÁBRICA DE JABÓN LA CORONA, S.A. DE C.V. (PLANTA DE JABONES Y DETERGENTES)",Cd. de México / Zmvm,2027,Industria Limpia
863,"FÁBRICA DE JABÓN LA CORONA, S.A. DE C.V. (PLANTA DE ACEITES COMESTIBLES)",Cd. de México / Zmvm,2027,Industria Limpia
864,"CYCNA DE ORIENTE, S.A. DE C.V.",Puebla,2027,Industria Limpia
865,"MITSUBISHI ELECTRIC DE MÉXICO, S.A. DE C.V. (PLANTA II)",Queretaro,2027,Industria Limpia
866,"GRUPO AUTOMOTRIZ IRAGORRI, S.A. DE C.V. (SUCURSAL NAGOYA)",Morelos,2027,Calidad Ambiental
867,"CFE TRANSMISIÓN, (PLANTA REGENERADORA DE ACEITE MINERAL)",Durango,2027,Industria Limpia
868,"COTEMAR, S.A. DE C.V. INSTALACIONES DE ALMACEN Y MUELLE DE ABASTECIMIENTO Y OFICINAS ADMINISTRATIVAS",Campeche,2027,Calidad Ambiental
869,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN RÍO.",Baja California,2027,Calidad Ambiental
870,NETZAHUALCÓYOTL PRECIADO TORRES (LABORATORIOS PRECIADO MONTES CLÍNICA GAP),Colima,2027,Calidad Ambiental
871,NETZAHUALCÓYOTL PRECIADO TORRES (LABORATORIOS PRECIADO MONTES CLÍNICA GUADALUPANA),Colima,2027,Calidad Ambiental
872,NETZAHUALCÓYOTL PRECIADO TORRES (LABORATORIOS PRECIADO MONTES MATRIZ),Colima,2027,Calidad Ambiental
873,NETZAHUALCÓYOTL PRECIADO TORRES (LABORATORIOS PRECIADO MONTES TECOMÁN),Colima,2027,Calidad Ambiental
874,NETZAHUALCÓYOTL PRECIADO TORRES (LABORATORIOS PRECIADO MONTES UNIMED),Colima,2027,Calidad Ambiental
875,"ENVASES DE PAPEL AVENTIS, S.A. DE C.V.",Cd. de México / Zmvm,2027,Industria Limpia
876,"AEROPUERTO DE CIUDAD JUÁREZ, S.A. DE C.V.",Chihuahua,2027,Calidad Ambiental
877,"TERMINAL TRANSOCEÁNICA DE TOPOLOBAMPO, S.A DE C.V.",Sinaloa,2027,Calidad Ambiental
878,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA HUATULCO, SUBESTACIONES HUATULCO, CONEJOS, POCHUTLA, PUERTO ESCONDIDO Y PINOTEPA",Oaxaca,2027,Calidad Ambiental
879,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA OAXACA, SUBESTACIONES IXTLÁN, ETLA, MITLA, EJUTLA, MIAHUATLÁN, SAN PABLO HUIXTEPEC, TLACOLULA, SAN FELIPE OAXACA, EL TULE, REYES MANTECÓN, OAXACA I, OAXACA II, OAXACA PONIENTE Y SAN JACINTO TLACOTEPEC",Oaxaca,2027,Calidad Ambiental
880,"CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES, S. DE R.L. DE C.V., PLANTA SALTILLO",Coahuila,2027,Industria Limpia
881,"LEAR ELECTRICAL SYSTEMS DE MÉXICO, S. DE R.L. DE C.V., PLANTA MONARCA",Chihuahua,2027,Industria Limpia
882,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA HUAJUAPAN, SUBESTACIONES ITUNDUJIA Y TECOMAXTLAHUACA",Oaxaca,2027,Calidad Ambiental
883,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA SAN LUIS, SUBESTACIONES LA CHOLLA, ORIENTE, PUERTO PEĄASCO Y VALLE",Sonora,2027,Calidad Ambiental
884,"CLOROX DE MÉXICO, S. DE R.L. DE C.V.",Cd. de México / Zmvm,2027,Industria Limpia
885,"PROPIMEX, S. DE R.L. DE C.V. (MEGA DISTRIBUIDORA TUXTLA GUTIÉRREZ)",Chiapas,2027,Calidad Ambiental
886,"BL DISEĄO Y MANTENIMIENTO EMPRESARIAL, S.A. DE C.V.",Sinaloa,2027,Calidad Ambiental
887,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., OFICINAS ADMINISTRATIVAS PARQUE VÍA 190",Cd. de México / Zmvm,2027,Calidad Ambiental
888,"ASOFARMA DE MÉXICO, S.A. DE C.V. (PLANTA ADIUM MÉXICO)",Cd. de México / Zmvm,2027,Industria Limpia
889,"LII UNITED PRODUCTS, S. DE R.L. DE C.V., PLANTA 2",Coahuila,2027,Industria Limpia
890,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO CENTRO, ZONA TACUBA, SUBESTACIÓN TACUBA",Cd. de México / Zmvm,2027,Calidad Ambiental
891,"PANEL REY, S.A. PLANTA SAN LUIS POTOSÍ",San Luis Potosi,2027,Industria Limpia
892,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA COSTA, SUBESTACIÓN TECOLOTLÁN",Jalisco,2027,Calidad Ambiental
893,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA COSTA, SUBESTACIÓN SAN CLEMENTE",Jalisco,2027,Calidad Ambiental
894,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA SANTIAGO, SUBESTACIÓN ACAPONETA",Nayarit,2027,Calidad Ambiental
895,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA VALLARTA, SUBESTACIÓN JARRETADERAS",Nayarit,2027,Calidad Ambiental
896,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA VALLARTA, SUBESTACIÓN DESTILADERAS",Nayarit,2027,Calidad Ambiental
897,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA PAPALOAPAN, SUBESTACIONES COSOLAPA Y TUXTEPEC III",Oaxaca,2027,Calidad Ambiental
898,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA PAPALOAPAN, SUBESTACIONES JALAPA DE DÍAZ Y LOMA BONITA II",Oaxaca,2027,Calidad Ambiental
899,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN TECATE DOS.",Baja California,2027,Calidad Ambiental
900,"EÓLICA EL RETIRO, S.A.P.I. DE C.V., (PARQUE EÓLICO EL RETIRO)",Oaxaca,2027,Industria Limpia
901,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA TEHUANTEPEC, SUBESTACIÓN TAPANATEPEC",Oaxaca,2027,Calidad Ambiental
902,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA HUATULCO, SUBESTACIÓN SANTA ROSA.",Oaxaca,2027,Calidad Ambiental
903,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA LOS RIOS, SUBESTACIÓN EMILIANO ZAPATA PONIENTE",Tabasco,2027,Calidad Ambiental
904,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA SAN LUIS, SUBESTACIÓN LA BOLSA",Sonora,2027,Calidad Ambiental
905,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA SAN LUIS, SUBESTACIÓN CALLE TRECE",Sonora,2027,Calidad Ambiental
906,"SERVICIOS ECOLÓGICOS Y RECICLADOS, S. DE. R.L.M.I. (SUCURSAL AGUA PRIETA)",Sonora,2027,Calidad Ambiental
907,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO CENTRO, ZONA ZÓCALO, SUBESTACIÓN INDIANILLA",Cd. de México / Zmvm,2027,Calidad Ambiental
908,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA MATAMOROS, SUBESTACIÓN ATENCINGO II",Puebla,2027,Calidad Ambiental
909,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA MATAMOROS, SUBESTACIÓN METEPEC",Puebla,2027,Calidad Ambiental
910,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TECAMACHALCO, SUBESTACIÓN TEPEXI",Puebla,2027,Calidad Ambiental
911,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TECAMACHALCO, SUBESTACIÓN ACATZINGO",Puebla,2027,Calidad Ambiental
912,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TEHUACÁN, SUBESTACIÓN ZINACATEPEC",Puebla,2027,Calidad Ambiental
913,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA MATAMOROS, SUBESTACIÓN MATAMOROS",Puebla,2027,Calidad Ambiental
914,"GRUPO AUTOMOTRIZ IRAGORRI, S.A. DE C.V. (SUCURSAL KWANTO)",Morelos,2027,Calidad Ambiental
915,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA VALLARTA, SUBESTACIÓN LAS VARAS",Nayarit,2027,Calidad Ambiental
916,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA VALLARTA, SUBESTACIÓN SAN VICENTE",Nayarit,2027,Calidad Ambiental
917,"CFE DISTRIBUCIÓN, GERENCIA DIVISIONAL DE DISTRIBUCIÓN JALISCO, ZONA METROPOLITANA JUÁREZ, SUBESTACIÓN ELÉCTRICA LAS PINTAS",Jalisco,2027,Calidad Ambiental
918,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA SANTIAGO, SUBESTACIÓN 5 DE MAYO",Nayarit,2027,Calidad Ambiental
919,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA VALLARTA, SUBESTACIÓN PITILLAL",Jalisco,2027,Calidad Ambiental
920,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA HUAJUAPAN, SUBESTACIONES HUAJUAPAN, HUAUTLA, NOCHIXTLÁN Y TLAXIACO",Oaxaca,2027,Calidad Ambiental
921,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA TEHUANTEPEC, SUBESTACIONES MATÍAS ROMERO Y TEHUANTEPEC",Oaxaca,2027,Calidad Ambiental
922,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA CANCÚN, SUBESTACIONES KABAH Y KUKULCÁN",Quintana Roo,2027,Calidad Ambiental
923,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA RIVIERA MAYA, SUBESTACIONES COZUMEL Y CHANKANAB II",Quintana Roo,2027,Calidad Ambiental
924,"ESJ RENOVABLE II, S. DE R.L. DE C.V",Sonora,2027,Industria Limpia
925,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA LOS RÍOS, SUBESTACIÓN ZAPATA II",Chiapas,2027,Calidad Ambiental
926,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA PAPALOAPAN, SUBESTACIÓN TUXTEPEC II.",Oaxaca,2027,Calidad Ambiental
927,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA NAVOJOA, SUBESTACIONES NAVOJOA Y VALLE DEL MAYO.",Sonora,2027,Calidad Ambiental
928,"OP ECOLOGÍA, S.A.P.I. DE C.V. (CENTRO DE RESGUARDO DE VEHÍCULOS DE RECOLECCIÓN DE RESIDUOS SÓLIDOS)",Sinaloa,2027,Calidad Ambiental
929,"CFE TRANSMISIÓN, ZONA DE TRANSMISIÓN CAMARGO, SUBESTACIÓN ELÉCTRICA, HÉRCULES POTENCIA",Coahuila,2027,Calidad Ambiental
930,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA ATLACOMULCO, SUBESTACIÓN ACULCO NUEVA",México,2027,Calidad Ambiental
931,"HELVEX, S.A. DE C.V. (PLANTA MÉXICO)",Cd. de México / Zmvm,2027,Industria Limpia
932,"INNOVACIÓN CORPORATIVA DE TABASCO, S.A. DE C.V. (INCOTAB)",Tabasco,2027,Industria Limpia
933,"FR TERMINALES, S.A. DE C.V. TIZAYUCA",Hidalgo,2027,Calidad Ambiental
934,"FRIGORIFICO DE MANZANILLO, S.A. DE C.V.",Colima,2027,Calidad Ambiental
935,"BIMBO, S.A. DE C.V. PLANTA SAN LUIS POTOSÍ",San Luis Potosi,2027,Industria Limpia
936,APTIV CONTRACT SERVICES TAMAULIPAS S. DE R.L. DE C.V. OPERACIONES REYNOSA,Tamaulipas,2027,Industria Limpia
937,"ENERGÍA RENOVABLE DEL ISTMO II, S.A. DE C.V. (PARQUE EÓLICO EL CORTIJO Y LÍNEA DE TRANSMISIÓN)",Tamaulipas,2027,Industria Limpia
938,CFE GENERACIÓN VI EPS (CASA DE MÁQUINAS Y OFICINAS DE LA CENTRAL HIDROELÉCTRICA MAZATEPEC),Puebla,2027,Industria Limpia
939,"CFE TRANSMISIÓN, GERENCIA REGIONAL DE TRANSMISIÓN PENINSULAR, ZONA DE TRANSMISIÓN CANCÚN, SUBESTACIÓN CANCÚN",Quintana Roo,2027,Calidad Ambiental
940,"CFE TRANSMISIÓN, GERENCIA REGIONAL DE TRANSMISIÓN PENINSULAR, ZONA DE TRANSMISIÓN CHETUMAL, SUBESTACIÓN XUL-HÁ 115",Quintana Roo,2027,Calidad Ambiental
941,"CFE TRANSMISIÓN, GERENCIA NOROESTE, ZONA SONORA SUR, SUBESTACIÓN MANIOBRAS CERVECERA OBREGÓN",Sonora,2027,Calidad Ambiental
942,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA TUXTLA, SUBESTACIÓN BOCHIL",Chiapas,2027,Calidad Ambiental
943,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA IGUALA, SUBESTACIONES: TAXCO, IGUALA Y BALSAS",Guerrero,2027,Calidad Ambiental
944,"PREMIER AUTOCOUNTRY, S.A. DE C.V. (MERCEDES BENZ CULIACÁN)",Sinaloa,2027,Calidad Ambiental
945,"ALEN DEL NORTE, S.A. DE C.V. (PLANTA I)",Puebla,2027,Industria Limpia
946,"REFACCIONARIA ROCA, S.A. DE C.V. (CENTRO DE SERVICIO JESUS MARIA)",Aguascalientes,2027,Calidad Ambiental
947,"ELÉCTRICA DEL VALLE DE MÉXICO, S. DE R.L. DE C.V. (PARQUE EÓLICO LA MATA LA VENTOSA)",Oaxaca,2027,Industria Limpia
948,"AUTOMAYA, S.A. DE C.V. (SUC. VALLADOLID)",Yucatán,2027,Calidad Ambiental
949,CFE GENERACIÓN VI CENTRAL FELIPE CARRILLO PUERTO,Yucatán,2027,Industria Limpia
950,"CFE GENERACIÓN III EPS, (CENTRAL TURBO GAS CABORCA)",Sonora,2027,Industria Limpia
951,"IBERDROLA ENERGÍA TAMAZUNCHALE, S.A. DE C.V.",San Luis Potosi,2027,Industria Limpia
952,CFE. GENERACIÓN VI CENTRAL TURBO GAS CARMEN,Campeche,2027,Industria Limpia
953,"PROPIMEX, S. DE R.L. DE C.V. (DISTRIBUIDORA ESCUINTLA)",Chiapas,2027,Calidad Ambiental
954,"PROPIMEX, S. DE R.L. DE C.V. (DISTRIBUIDORA VILLAFLORES)",Chiapas,2027,Calidad Ambiental
955,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRAL TELEFÓNICA CONDESA",Cd. de México / Zmvm,2027,Calidad Ambiental
956,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRAL TELEFÓNICA IZTACALCO",Cd. de México / Zmvm,2027,Calidad Ambiental
957,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRAL TELEFÓNICA BOSQUES",Cd. de México / Zmvm,2027,Calidad Ambiental
958,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRO OPERATIVO NEXTENGO",Cd. de México / Zmvm,2027,Calidad Ambiental
959,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRAL TELEFÓNICA IZTACCÍHUATL",Cd. de México / Zmvm,2027,Calidad Ambiental
960,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRAL TELEFÓNICA ROMA",Cd. de México / Zmvm,2027,Calidad Ambiental
961,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRAL TELEFÓNICA TACUBAYA",Cd. de México / Zmvm,2027,Calidad Ambiental
962,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRAL TELEFÓNICA MORALES",Cd. de México / Zmvm,2027,Calidad Ambiental
963,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRAL TELEFÓNICA POPOCATEPETL II",Cd. de México / Zmvm,2027,Calidad Ambiental
964,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V. CENTRAL TELEFÓNICA ESTRELLA",Cd. de México / Zmvm,2027,Calidad Ambiental
965,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA CABORCA, SUBESTACIONES ARROYO SECO Y BIZANI",Sonora,2027,Calidad Ambiental
966,"INDUSTRIAS JOHN DEERE, S. DE R.L. DE C.V. (PLANTA LOADERS)",Coahuila,2027,Industria Limpia
967,"COMERCIALIZADORA DE LÁCTEOS Y DERIVADOS, S.A. DE C.V. (PLANTA LALA GUADALAJARA)",Jalisco,2027,Industria Limpia
968,"PLASTIREY, S.A. DE C.V.",Nuevo León,2027,Industria Limpia
969,"CFE DISTRIBUCIÓN, GERENCIA BAJÍO, ZONA SAN JUAN DEL RÍO, SUBESTACIÓN VIZARRÓN",Queretaro,2027,Calidad Ambiental
970,"MANANTIALES PEĄAFIEL, S.A. DE C.V. (PLANTA TECAMAC)",Cd. de México / Zmvm,2027,Industria Limpia
971,"ADMINISTRACIÓN DEL SISTEMA PORTUARIO NACIONAL ENSENADA, S.A. DE C.V.",Baja California,2027,Calidad Ambiental
972,"CFE DISTRIBUCIÓN, GERENCIA BAJÍO, ZONA SAN JUAN DEL RIO, SUBESTACIONES LA MANSIÓN, SAN JUAN DEL RIO ORIENTE Y TEQUISQUIAPAN II",Queretaro,2027,Calidad Ambiental
973,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA MÉRIDA, SUBESTACIÓN UCU",Yucatán,2027,Calidad Ambiental
974,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA MOTUL, SUBESTACIÓN KOPTE",Yucatán,2027,Calidad Ambiental
975,"CFE DISTRIBUCIÓN, GERENCIA de distribución PENINSULAR, ZONA MÉRIDA, SUBESTACIÓN MÉRIDA ORIENTE",Yucatán,2027,Calidad Ambiental
976,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA MÉRIDA, SUBESTACIÓN SUR",Yucatán,2027,Calidad Ambiental
977,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA TICUL, SUBESTACIÓN TICUL I",Yucatán,2027,Calidad Ambiental
978,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA TIZIMIN, SUBESTACIÓN VALLADOLID",Yucatán,2027,Calidad Ambiental
979,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA TICUL, SUBESTACIÓN MAXCANÚ",Yucatán,2027,Calidad Ambiental
980,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA MOTUL, SUBESTACIÓN IZAMAL II",Yucatán,2027,Calidad Ambiental
981,"CFE DISTRIBUCIÓN, GERENCIA PENINSULAR, ZONA MÉRIDA, SUBESTACIÓN KANASIN POTENCIA",Yucatán,2027,Calidad Ambiental
982,"ALEN DEL NORTE, S.A. DE C.V. (PLANTA II)",Puebla,2027,Industria Limpia
983,"GRUPO EMPRESARIAL SALAVERRY, S.A. DE C.V.",Tlaxcala,2027,Industria Limpia
984,"TRUCK AND WHEEL MÉXICO, S. DE R.L. DE C.V.",Puebla,2027,Industria Limpia
985,"POLYNT COMPOSITES MÉXICO, S.A. DE C.V.",México,2027,Industria Limpia
986,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PACHUCA, SUBESTACIÓN ACTOPAN",Hidalgo,2027,Calidad Ambiental
987,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PACHUCA (SUBESTACIÓN PACHUCA)",Hidalgo,2027,Calidad Ambiental
988,"SERVISAN, S.A. DE C.V. (NAUCALPAN)",Cd. de México / Zmvm,2027,Calidad Ambiental
989,"MAQUILAS TETA KAWI, S.A. DE C.V. DEPARTAMENTO TE CONNECTIVITY CORPORATION PLANTA 5",Sonora,2027,Industria Limpia
990,CERVECERÍA CUAUHTÉMOC MOCTEZUMA S.A. DE C.V. (PLANTA NAVOJOA),Sonora,2027,Industria Limpia
991,BANCO DE MÉXICO (COMPLEJO LEGARIA),Cd. de México / Zmvm,2027,Industria Limpia
992,"MAVI FARMACÉUTICA, S.A. DE C.V. PLANTA PANTITLÁN",Cd. de México / Zmvm,2027,Industria Limpia
993,"AUTOCIRC, S.A. DE C.V. (SUCURSAL HONDA MORELOS)",Morelos,2027,Calidad Ambiental
994,"ALUPRINT, S. DE R.L. DE C.V.",San Luis Potosi,2027,Industria Limpia
995,"DAIMLER VEHÍCULOS COMERCIALES MÉXICO, S. DE R.L. DE C.V., CENTRO INTERNACIONAL DE DISTRIBUCIÓN DE PARTES (CIDP)",San Luis Potosi,2027,Calidad Ambiental
996,"INDUSTRIAS DERIVADAS DEL ETILENO, S.A. DE C.V., (UNIDAD INDUSTRIAL COATZACOALCOS)",Veracruz,2027,Industria Limpia
997,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA TEHUANTEPEC, SUBESTACIONES JUCHITÁN I, IXTEPEC, TECNOLÓGICO, SARABIA Y SALINA CRUZ I",Oaxaca,2027,Calidad Ambiental
998,"SCIENTIFIC ATLANTA DE MÉXICO, S. DE R.L. DE C.V.",Chihuahua,2027,Industria Limpia
999,"CFE GENERACIÓN IV EPS, (CENTRAL HIDROELÉCTRICA LA AMISTAD)",Coahuila,2027,Industria Limpia
1000,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TULANCINGO, SUBESTACIÓN TULANCINGO",Hidalgo,2027,Calidad Ambiental
