no,nombre_instalacion,estado,anio_vigencia,tipo_certificado
574,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA JUÁREZ, SUBESTACIÓN VALLE LA ESPERANZA",Chihuahua,2026,Calidad Ambiental
575,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA JUÁREZ, SUBESTACIÓN FUENTES",Chihuahua,2026,Calidad Ambiental
576,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA JUÁREZ, SUBESTACIÓN GÉMINIS",Chihuahua,2026,Calidad Ambiental
577,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CASAS GRANDES, SUBESTACIÓN CASAS GRANDES",Chihuahua,2026,Calidad Ambiental
578,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CASAS GRANDES, SUBESTACIÓN GALEANA",Chihuahua,2026,Calidad Ambiental
579,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CASAS GRANDES, SUBESTACIÓN ASCENSIÓN",Chihuahua,2026,Calidad Ambiental
580,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CUAUHTÉMOC, SUBESTACIÓN ARENALES",Chihuahua,2026,Calidad Ambiental
581,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CUAUHTÉMOC, SUBESTACIÓN CARICHÍ",Chihuahua,2026,Calidad Ambiental
582,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CASAS GRANDES, SUBESTACIÓN SAN BUENAVENTURA",Chihuahua,2026,Calidad Ambiental
583,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CASAS GRANDES, SUBESTACIÓN JANOS",Chihuahua,2026,Calidad Ambiental
584,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA DELICIAS, SUBESTACIÓN MEOQUI",Chihuahua,2026,Calidad Ambiental
585,"AUTOLIV STEERING WHEELS MÉXICO, S. DE R.L. DE C.V. (PLANTA CMX)",Queretaro,2026,Industria Limpia
586,"W.H. BRADY, S. DE R.L. DE C.V., PLANTA QUERÉTARO",Queretaro,2026,Industria Limpia
587,"AEROVÍAS DE MÉXICO, S.A. DE C.V. (HANGAR ORIENTE)",Cd. de México / Zmvm,2026,Calidad Ambiental
588,"MULTIMODAL ACEROS DE SONORA, S.A. DE C.V.",Sonora,2026,Calidad Ambiental
589,"COSMOCEL, S.A.",Nuevo León,2026,Industria Limpia
590,"SÁBALO MAZATLÁN, S.A. DE C.V. (HOTEL PUEBLO BONITO)",Sinaloa,2026,Calidad Ambiental Turistica
591,"FÁBRICA DE JABÓN LA CORONA, S.A. DE C.V. (PLANTA DE DETERGENTE LÍQUIDO)",Cd. de México / Zmvm,2026,Industria Limpia
592,"PREMIER DE ORIENTE, S. DE R.L. DE C.V. SUCURSAL TOYOTA LOS MOCHIS",Sinaloa,2026,Calidad Ambiental
593,"LEAR MEXICAN TRIM OPERATIONS, S. DE R.L. DE C.V., PLANTA VILLA AHUMADA",Chihuahua,2026,Industria Limpia
594,"GRUPO AMERICAN INDUSTRIES, S.A DE C. V. (PROYECTO TEXTRON AEROSPACE DE MÉXICO PLANTA 1)",Chihuahua,2026,Industria Limpia
595,"LEAR MEXICAN TRIM OPERATIONS, S. DE R.L. DE C.V., COMPLEJO LA CUESTA",Chihuahua,2026,Industria Limpia
596,"ENVITA SUSTAINABILITY SOLUTIONS MÉXICO, S. DE R.L. DE C.V.",Chihuahua,2026,Calidad Ambiental
597,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V. CENTRAL TELEFÓNICA VERÓNICA",Cd. de México / Zmvm,2026,Calidad Ambiental
598,"BEBIDAS MUNDIALES, S. DE R.L. DE C.V. CEDIS UNIVERSIDAD",Nuevo León,2026,Calidad Ambiental
599,"AUTOS PREMIER DE ORIENTE, S.A. DE C.V. (HYUNDAI CULIACÁN)",Sinaloa,2026,Calidad Ambiental
600,"AUTOS PREMIER DE ASIA, S.A. DE C.V. (KIA CULIACÁN)",Sinaloa,2026,Calidad Ambiental
601,"PROVETREN, S.A. DE C.V.",Cd. de México / Zmvm,2026,Calidad Ambiental
602,"BARAMIN, S.A. DE C.V.",Veracruz,2026,Industria Limpia
603,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA VILLAHERMOSA, SUBESTACIONES PICHUCALCO Y REFORMA",Chiapas,2026,Calidad Ambiental
604,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA JUÁREZ, SUBESTACIÓN LAGOS",Chihuahua,2026,Calidad Ambiental
605,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CASAS GRANDES, SUBESTACIÓN PALOMAS",Chihuahua,2026,Calidad Ambiental
606,"CRISOBA INDUSTRIAL, S.A. DE C.V. (PLANTA TEXMELUCAN)",Puebla,2026,Industria Limpia
607,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO SUR, ZONA TENANGO, SUBESTACIÓN AMOMOLULCO",México,2026,Calidad Ambiental
608,"OPERACIÓN Y MANUFACTURA INTERCERAMIC, S.A. DE C.V. PLANTA 10",Guanajuato,2026,Industria Limpia
609,"INTERNATIONAL PAPER MÉXICO COMPANY, S. DE R.L. DE C.V. (PLANTA TOLUCA)",México,2026,Industria Limpia
610,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO SUR, ZONA TENANGO, SUBESTACIÓN TLATELULCO",México,2026,Calidad Ambiental
611,"PETRAMIN, S.A. DE C.V.",Guanajuato,2026,Industria Limpia
612,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO SUR ZONA VOLCANES SUBESTACIÓN CHALCO",Cd. de México / Zmvm,2026,Calidad Ambiental
613,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO SUR, ZONA VOLCANES, SUBESTACIÓN COVADONGA",Cd. de México / Zmvm,2026,Calidad Ambiental
614,"ASFALTOS DE LA FRONTERA, S.A. DE C.V.",Chihuahua,2026,Industria Limpia
615,CFE GENERACIÓN VI (CENTRAL TERMOELÉCTRICA LERMA),Campeche,2026,Industria Limpia
