no,nombre_instalacion,estado,tipo_certificado
60,"MAVI FARMACÉUTICA, S.A. DE C.V. PLANTA PANTITLÁN",Distrito Federal,Industria Limpia
61,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO SUR, ZONA VOLCANES, SUBESTACIÓN AGUA VIVA",México,Calidad Ambiental
62,"CFE GENERACIÓN IV EPS, (CENTRAL HIDROELÉCTRICA LA AMISTAD)",Coahuila,Industria Limpia
63,"INDUSTRIAS DERIVADAS DEL ETILENO, S.A. DE C.V., (UNIDAD INDUSTRIAL COATZACOALCOS)",Veracruz,Industria Limpia
64,"ALUPRINT, S. DE R.L. DE C.V.",San Luis Potosi,Industria Limpia
65,"AUTOCIRC, S.A. DE C.V. (SUCURSAL HONDA MORELOS)",Morelos,Calidad Ambiental
66,"GILL INDUSTRIES OF MÉXICO, S. DE R.L. DE C.V. PLANTA QUERÉTARO",Queretaro,Industria Limpia
67,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., TRIARA.COM",Queretaro,Calidad Ambiental
68,TRIBUNAL ELECTORAL DEL PODER JUDICIAL DE LA FEDERACIÓN (SALA REGIONAL DE LA CIUDAD DE MÉXICO),Distrito Federal,Calidad Ambiental
69,"MAGNEKON, S.A. DE C.V. (PLANTA 2)",Nuevo León,Industria Limpia
70,"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA MONTERREY)",Nuevo León,Calidad Ambiental
71,"CFE TRANSMISIÓN GERENCIA REGIONAL DE TRANSMISIÓN VALLE DE MÉXICO, ZONA DE TRANSMISIÓN VALLE DE MÉXICO SUR, SUBESTACIÓN CULHUACÁN",Distrito Federal,Calidad Ambiental
72,"CFE TRANSMISIÓN GERENCIA REGIONAL DE TRANSMISIÓN VALLE DE MÉXICO, ZONA DE TRANSMISIÓN VALLE DE MÉXICO SUR, SUBESTACIÓN NARVARTE",Distrito Federal,Calidad Ambiental
73,"BEBIDAS MUNDIALES, S. DE R.L. DE C.V. PLANTA CIEL",Coahuila,Industria Limpia
74,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PACHUCA (SUBESTACIÓN ATOTONILCO)",Hidalgo,Calidad Ambiental
75,"CFE TRANSMISIÓN, GERENCIA ORIENTE, ZONA CÓRDOBA, SUBESTACIONES OJO DE AGUA Y AMATLÁN DOS.",Veracruz,Calidad Ambiental
76,"CFE TRANSMISIÓN, GERENCIA REGIONAL DE TRANSMISIÓN VALLE DE MÉXICO, ZONA DE TRANSMISIÓN VALLE DE MÉXICO CENTRO, SUBESTACIÓN MORALES",Distrito Federal,Calidad Ambiental
77,"GRUPO POSADAS, S.A.B. DE C.V. (HOTEL GRAND FIESTA AMERICANA CHAPULTEPEC)",Distrito Federal,Calidad Ambiental Turistica
78,"RECUBRIMIENTOS INTERCERAMIC, S.A. DE C.V., PLANTA 4",Chihuahua,Industria Limpia
79,"OPERACIÓN Y MANUFACTURA INTERCERAMIC, S.A. DE C.V. PLANTA 5 Y 7",Chihuahua,Industria Limpia
80,"OPERACIÓN Y MANUFACTURA INTERCERAMIC, S.A. DE C.V. PLANTA 8 Y 9",Chihuahua,Industria Limpia
81,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA MAZATLÁN, SUBESTACIONES VILLA UNIÓN, ROSARIO Y PIAXTLA",Sinaloa,Calidad Ambiental
82,"CFE DISTRIBUCIÓN, DIVISIÓN CENTRO SUR, ZONA ZIHUATANEJO, SUBESTACIONES: ZIHUATANEJO II Y TÉCPAN",Guerrero,Calidad Ambiental
83,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA ZIHUATANEJO, SUBESTACIÓN SAN LUIS SAN PEDRO.",Guerrero,Calidad Ambiental
84,"CLUB NAUTICO DE TOPOLOBAMPO, A.C.",Sinaloa,Calidad Ambiental Turistica
85,"GORA CORPORATIVO EMPRESARIAL, S.A. DE C.V.",Tlaxcala,Calidad Ambiental
86,"INDUSTRIAS FRIGUS THERME, S.A. DE C.V.",Queretaro,Industria Limpia
87,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA ZAMORA, SUBESTACIONES LINDA VISTA Y PUERTA GRANDE",Michoacan,Calidad Ambiental
88,"LUBRICANTES FUCHS DE MÉXICO, S.A. DE C.V.",Queretaro,Industria Limpia
89,"PANOVO ALIMENTARIA, S. DE R.L. DE C.V.",Jalisco,Industria Limpia
90,"POSEIDON SHIP S SUPPLIER, S.A. DE C.V.",Michoacan,Calidad Ambiental
91,"CFE TRANSMISIÓN, ZONA DE TRANSMISIÓN LAGUNA (SUBESTACIONES TORREÓN SUR Y ANDALUCÍA)",Coahuila,Calidad Ambiental
