rank,empresa,razon_social,municipio,estado,scian,actividad,estrato_personal,parque_industrial,certificado_profepa,senales_publicas,score,source_urls,source_date
33,CIE CELAYA,CIE CELAYA,Celaya,Guanajuato,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,251 y más personas,Ciudad Industrial,,SCIAN intensivo en energía (336340); Parque: Ciudad Industrial; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
34,CIE CELAYA SAPI DE CB,CIE CELAYA SAPI DE CB,Celaya,Guanajuato,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,251 y más personas,Ciudad Industrial,,SCIAN intensivo en energía (336370); Parque: Ciudad Industrial; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
35,MONROE MEXICO,MONROE MEXICO,Celaya,Guanajuato,336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,251 y más personas,Ciudad Industrial,,SCIAN intensivo en energía (336330); Parque: Ciudad Industrial; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
36,SIIOSA,SERVICIO DE INGENIERIA INDUSTRIAL Y OUTSOURCING,Celaya,Guanajuato,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,251 y más personas,Ciudad Industrial,,SCIAN intensivo en energía (336370); Parque: Ciudad Industrial; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
37,ASTEMO EL MARQUES,ASTEMO EL MARQUES,El Marqués,Querétaro,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,251 y más personas,FINSA,,SCIAN intensivo en energía (336340); Parque: FINSA; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
38,AURIA,MEXAURIA SOLUTIONS,El Marqués,Querétaro,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,251 y más personas,Bernardo Quintana,,SCIAN intensivo en energía (336360); Parque: Bernardo Quintana; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
39,CORGRATE FIBERGLASS SYSTEMS,CORGRATE FIBERGLASS SYSTEMS,El Marqués,Querétaro,326198,Fabricación de otros productos de plástico con reforzamiento,251 y más personas,Bernardo Quintana,,SCIAN intensivo en energía (326198); Parque: Bernardo Quintana; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
40,IRIZAR MEXICO,IRIZAR MEXICO,El Marqués,Querétaro,336120,Fabricación de camiones y tractocamiones,251 y más personas,Bernardo Quintana,,SCIAN intensivo en energía (336120); Parque: Bernardo Quintana; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
41,JOHNSON MATTHEY DE MÉXICO,JOHNSON MATTHEY DE MEXICO,El Marqués,Querétaro,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Bernardo Quintana,,SCIAN intensivo en energía (336390); Parque: Bernardo Quintana; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
42,NICRO QUERETARO,NICRO PLATING GROUP QUERETARO,El Marqués,Querétaro,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,251 y más personas,FINSA,,SCIAN intensivo en energía (336370); Parque: FINSA; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
43,NIHON PLAST MEXICANA,NIHON PLAST MEXICANA,El Marqués,Querétaro,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,251 y más personas,Bernardo Quintana,,SCIAN intensivo en energía (336360); Parque: Bernardo Quintana; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
44,ROBIN MEXICANA,ROBIN MEXICANA,El Marqués,Querétaro,326220,Fabricación de bandas y mangueras de hule y de plástico,251 y más personas,Bernardo Quintana,,SCIAN intensivo en energía (326220); Parque: Bernardo Quintana; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
45,SAAR GUMMI MEXICO,SAAR GUMMI MEXICO,El Marqués,Querétaro,326290,Fabricación de otros productos de hule,251 y más personas,Bernardo Quintana,,SCIAN intensivo en energía (326290); Parque: Bernardo Quintana; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
46,TRW SISTEMAS DE DIRECCIONES,TRW SISTEMAS DE DIRECCIONES,El Marqués,Querétaro,336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,251 y más personas,FINSA,,SCIAN intensivo en energía (336330); Parque: FINSA; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
47,WOCO TECH DE MEXICO,WOCO TECH DE MEXICO,El Marqués,Querétaro,326290,Fabricación de otros productos de hule,251 y más personas,Bernardo Quintana,,SCIAN intensivo en energía (326290); Parque: Bernardo Quintana; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26
48,GRAHAM PACKAGING PLASTIC PRODUCTS DE MÉXICO,GRAHAM PACKAGING PLASTIC PRODUCTS DE MEXICO,Irapuato,Guanajuato,326160,Fabricación de botellas de plástico,251 y más personas,Ciudad Industrial,,SCIAN intensivo en energía (326160); Parque: Ciudad Industrial; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
49,KASAI MEXICANA,KASAI MEXICANA,León,Guanajuato,326192,Fabricación de autopartes de plástico con y sin reforzamiento,251 y más personas,Ciudad Industrial,,SCIAN intensivo en energía (326192); Parque: Ciudad Industrial; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
50,PLASTICOS AHERIBLES DEL BAJIO RESTAURADORES,PLASTICOS ADHERIBLES DEL BAJIO,León,Guanajuato,326191,Fabricación de productos de plástico para el hogar con y sin reforzamiento,251 y más personas,Ciudad Industrial,,SCIAN intensivo en energía (326191); Parque: Ciudad Industrial; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
